date,casos,muertes
2020-03-31,1215,29
2020-03-30,1094,28
2020-03-29,993,20
2020-03-28,848,16
2020-03-27,717,12
2020-03-26,585,8
2020-03-25,476,6
2020-03-24,405,5
2020-03-23,367,4
2020-03-22,316,2
2020-03-21,251,2
2020-03-20,203,2
2020-03-19,164,0
2020-03-18,118,0
2020-03-17,93,0
2020-03-16,82,0
2020-03-15,53,0
2020-03-14,41,0
2020-03-13,26,0
2020-03-12,15,0
2020-03-11,11,0
2020-03-10,7,0
2020-03-09,7,0
2020-03-08,7,0
2020-03-07,7,0
2020-03-06,6,0
2020-03-05,5,0
2020-03-04,5,0
2020-03-03,5,0
2020-03-02,5,0
2020-03-01,5,0
2020-02-29,4,0
2020-02-28,3,0
2020-02-27,0,0
