Fecha,Observados,Predicción,Error
2020-03-15,53,51.8885592171046,1.1114407828954
2020-03-16,82,73.7153716498047,8.284628350195305
2020-03-17,93,115.6806644501935,-22.680664450193504
2020-03-18,118,134.76555984766594,-16.76555984766594
2020-03-19,164,163.96324019392833,0.03675980607167162
2020-03-20,203,218.34031904906894,-15.340319049068938
2020-03-21,251,273.5639256876687,-22.5639256876687
2020-03-22,316,335.7871299294353,-19.78712992943531
2020-03-23,367,415.4252291907438,-48.42522919074378
2020-03-24,405,487.8441338528637,-82.8441338528637
2020-03-25,476,545.1812346575414,-69.18123465754138
2020-03-26,585,620.1194334178471,-35.11943341784706
